# 298 checkpoints, total 149.68 TB (149,675,743,140,895 bytes)
#           bytes	       GB	path
   281352690366	   281.35	gs://marin-us-central1/checkpoints/math-top3-extract-lr2e-7_bs16-qwen3-0.6b-base-dca1b3/
   281352681271	   281.35	gs://marin-us-central1/checkpoints/math-top3-extract-lr1e-6_bs16-qwen3-0.6b-base-e49c8d/
   274200117830	   274.20	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-7_bs32-qwen3-0.6b-base-93ff1b/
   274200104902	   274.20	gs://marin-us-central1/checkpoints/math-top3-resili-lr2e-6_bs32-qwen3-0.6b-base-3319b8/
   274200094571	   274.20	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-6_bs32-qwen3-0.6b-base-d02948/
   274200092134	   274.20	gs://marin-us-central1/checkpoints/math-top3-resili-code-best-extract-qwen3-0.6b-base-e3e6ad/
   274200070027	   274.20	gs://marin-us-central1/checkpoints/math-top3-resili-lr1e-5_bs32-qwen3-0.6b-base-b46477/
   274200056517	   274.20	gs://marin-us-central1/checkpoints/math-top3-resili-lr1e-6_bs32-qwen3-0.6b-base-f65bd7/
   274200055202	   274.20	gs://marin-us-central1/checkpoints/math-top3-resili-code-best-resili-qwen3-0.6b-base-579d6e/
   260687605930	   260.69	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p05_wu0p03-qwen3-0.6b-e01ab3/
   259894871800	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p1-lr5e-6_bs32-qwen3-0.6b-c967ff/
   259894870049	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p1_wu0p0-qwen3-0.6b-ddbc8c/
   259894855590	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p05_wu0p0-qwen3-0.6b-8cd3cd/
   259894854459	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p1-lr2e-6_bs32-qwen3-0.6b-aa71e3/
   259894848741	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p01_wu0p1-qwen3-0.6b-691553/
   259894845937	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p001_wu0p03-qwen3-0.6b-557a0f/
   259894843878	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p1-lr3e-6_bs32-qwen3-0.6b-f310b8/
   259894842205	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p001_wu0p1-qwen3-0.6b-4ed191/
   259894840497	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p01_wu0p0-qwen3-0.6b-c852e2/
   259894840000	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p05_wu0p1-qwen3-0.6b-cf856f/
   259894835470	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p1_wu0p03-qwen3-0.6b-4783ef/
   259894829714	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p01_wu0p03-qwen3-0.6b-36d5b8/
   259894826874	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p1-lr1e-6_bs32-qwen3-0.6b-af0b60/
   259894816150	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p1_wu0p1-qwen3-0.6b-726905/
   259894803575	   259.89	gs://marin-us-central1/checkpoints/medical-extract-p2-wd0p001_wu0p0-qwen3-0.6b-8b3c99/
   225452962490	   225.45	gs://marin-us-central1/checkpoints/math-v2-sweep-lr5e-6_bs64-qwen3-0.6b-base-a2fa22/
   224131734264	   224.13	gs://marin-us-central1/checkpoints/math-v2-sweep-lr5e-7_bs64-qwen3-0.6b-base-09419a/
   224131706638	   224.13	gs://marin-us-central1/checkpoints/math-v2-sweep-lr1e-6_bs64-qwen3-0.6b-base-898546/
   224131696379	   224.13	gs://marin-us-central1/checkpoints/math-v2-sweep-lr1e-5_bs64-qwen3-0.6b-base-f6944e/
   224131694899	   224.13	gs://marin-us-central1/checkpoints/math_multi_v2-extract-unified-qwen3-0.6b-base-sft-47198e/
   224131680973	   224.13	gs://marin-us-central1/checkpoints/math-v2-highreg-qwen3-0.6b-base-d22f28/
   224131680681	   224.13	gs://marin-us-central1/checkpoints/math-v2-sweep-lr2e-5_bs64-qwen3-0.6b-base-15b1e5/
   224131675994	   224.13	gs://marin-us-central1/checkpoints/code-resiliparse-qwen3-0.6b-base-sft-80285d/
   224131663592	   224.13	gs://marin-us-central1/checkpoints/math-v2-sweep-lr2e-6_bs64-qwen3-0.6b-base-3cac28/
   174063295700	   174.06	gs://marin-us-central1/checkpoints/math-mix-drop_worst3-qwen3-0.6b-base-4000ed/
   164937504438	   164.94	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr2e-6_bs64-qwen3-0.6b-fa0ede/
   160227819201	   160.23	gs://marin-us-central1/checkpoints/math-mix-core_math-qwen3-0.6b-base-516d9c/
   159875491206	   159.88	gs://marin-us-central1/checkpoints/medical-extract-v2-qwen3-0.6b-sft-f21e56/
   159758056471	   159.76	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr7e-6_bs64-qwen3-0.6b-bb2c7f/
   159758054137	   159.76	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr5e-6_bs64-qwen3-0.6b-880917/
   159758045889	   159.76	gs://marin-us-central1/checkpoints/math-mix-drop_offtopic-qwen3-0.6b-base-2d4a6f/
   159758042176	   159.76	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr1e-6_bs64-qwen3-0.6b-257e75/
   159758030505	   159.76	gs://marin-us-central1/checkpoints/medical-extractv2-p1-lr3e-6_bs64-qwen3-0.6b-797a71/
   147837026183	   147.84	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p01_wu0p0-qwen3-0.6b-base-8cc20c/
   145452846888	   145.45	gs://marin-us-central1/checkpoints/code-v3-sweep-lr5e-5_bs32-qwen3-0.6b-base-803d32/
   145452827739	   145.45	gs://marin-us-central1/checkpoints/code-v3-lowlr-lr3e-6_bs32-qwen3-0.6b-base-281581/
   145452816071	   145.45	gs://marin-us-central1/checkpoints/code-v3-p3-lowreg-linear_d0p95-qwen3-0.6b-base-bcbc0f/
   145452816041	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p1_wu0p0-qwen3-0.6b-base-aba204/
   145452815032	   145.45	gs://marin-us-central1/checkpoints/code-v3-lowlr-lr2e-6_bs32-qwen3-0.6b-base-e08ab8/
   145452813846	   145.45	gs://marin-us-central1/checkpoints/code-v3-sweep-lr5e-6_bs32-qwen3-0.6b-base-dce099/
   145452813805	   145.45	gs://marin-us-central1/checkpoints/code-v3-sweep-lr3e-4_bs32-qwen3-0.6b-base-622a0c/
   145452811096	   145.45	gs://marin-us-central1/checkpoints/code-v3-sweep-lr3e-5_bs32-qwen3-0.6b-base-86986c/
   145452810962	   145.45	gs://marin-us-central1/checkpoints/code-v3-p3-lowreg-linear_d1p0-qwen3-0.6b-base-7a3dd6/
   145452810897	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p05_wu0p03-qwen3-0.6b-base-850c39/
   145452810752	   145.45	gs://marin-us-central1/checkpoints/code-v3-p3-lowreg-cosine_d1p0-qwen3-0.6b-base-fd6d98/
   145452806331	   145.45	gs://marin-us-central1/checkpoints/math-top3-extract-code-best-extract-qwen3-0.6b-base-1c6b06/
   145452804732	   145.45	gs://marin-us-central1/checkpoints/math-top3-extract-code-best-resili-qwen3-0.6b-base-82e88a/
   145452803306	   145.45	gs://marin-us-central1/checkpoints/math-top3-extract-lr1e-5_bs32-qwen3-0.6b-base-acf678/
   145452803020	   145.45	gs://marin-us-central1/checkpoints/code-v3-sweep-lr1e-5_bs32-qwen3-0.6b-base-9b9b7e/
   145452801371	   145.45	gs://marin-us-central1/checkpoints/code-v3-sweep-lr1e-4_bs32-qwen3-0.6b-base-8fd8ad/
   145452801087	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p01_wu0p1-qwen3-0.6b-base-5f564e/
   145452796917	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p01_wu0p03-qwen3-0.6b-base-add896/
   145452791814	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p1_wu0p1-qwen3-0.6b-base-f21272/
   145452791158	   145.45	gs://marin-us-central1/checkpoints/code-v3-lowlr-lr1e-6_bs32-qwen3-0.6b-base-0b367e/
   145452787207	   145.45	gs://marin-us-central1/checkpoints/math-top3-extract-lr2e-6_bs32-qwen3-0.6b-base-e37f98/
   145452787202	   145.45	gs://marin-us-central1/checkpoints/code-v3-p3-lowreg-cosine_d0p9-qwen3-0.6b-base-e5d984/
   145452784406	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p001_wu0p03-qwen3-0.6b-base-bbcfe8/
   145452784002	   145.45	gs://marin-us-central1/checkpoints/math-top3-extract-lr5e-6_bs32-qwen3-0.6b-base-8899c5/
   145452783625	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p05_wu0p0-qwen3-0.6b-base-b4754c/
   145452783246	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p001_wu0p1-qwen3-0.6b-base-c8793a/
   145452782443	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p001_wu0p0-qwen3-0.6b-base-ae0a60/
   145452780328	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p05_wu0p1-qwen3-0.6b-base-7bd65f/
   145452777191	   145.45	gs://marin-us-central1/checkpoints/math-top3-extract-lr1e-6_bs32-qwen3-0.6b-base-9bca38/
